,TRANS_CIS,SEX,GENDER_IDENTITY,SURVEYCOMPLETED,Q82,Q84
484,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
485,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
486,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
487,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
488,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
489,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
490,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
491,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
492,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
493,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
494,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
495,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
497,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
498,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
499,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
500,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
502,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
503,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
504,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
505,Cis,Male,Cis man,2,"Yes, there are one or more places",Very dissatisfied
507,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
508,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
509,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
510,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
511,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
512,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
513,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
514,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
515,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
516,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
517,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
518,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
519,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
520,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
521,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
522,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
523,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
524,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
526,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
527,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
528,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
529,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
530,Trans,Male,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
531,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
533,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
535,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
537,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
539,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
540,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
543,Trans,Male,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly dissatisfied
544,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
546,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
548,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
549,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Very satisfied
550,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
552,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Very satisfied
553,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
554,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
556,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very dissatisfied
557,Trans,Male,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Very satisfied
558,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
559,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
564,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
565,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
566,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
568,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
569,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
570,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
571,Trans,Male,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Neutral
572,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
573,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Neutral
574,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
575,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
576,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
577,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Very satisfied
578,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Very satisfied
579,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Neutral
580,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
581,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
582,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
583,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
584,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly dissatisfied
585,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
586,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
587,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
589,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
590,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
591,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Very satisfied
592,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly dissatisfied
593,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
594,Trans,Male,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Very satisfied
595,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Neutral
596,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
597,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
598,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
600,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
601,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
602,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly dissatisfied
603,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
604,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
605,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Very satisfied
607,Trans,Male,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly dissatisfied
608,Trans,Female,Trans woman (MTF),1,"Yes, there are one or more places",Very dissatisfied
609,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
610,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
611,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Very satisfied
612,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
613,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
615,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
616,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
617,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
618,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
619,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
620,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
621,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
623,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
624,Trans,Male,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Very satisfied
625,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly dissatisfied
626,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
627,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
628,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
629,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
630,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly dissatisfied
631,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
632,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
633,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
634,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
635,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
636,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
637,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
638,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
639,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
640,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
641,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
642,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
643,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
645,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
646,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
647,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
648,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
649,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
651,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
652,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
653,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
654,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
655,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
656,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
657,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
658,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
659,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
661,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
662,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
663,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
664,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
665,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
666,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
667,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
669,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
670,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
671,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
672,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
673,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
674,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
675,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
676,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
677,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
678,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
679,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
680,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
681,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
682,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
683,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
685,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
686,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
687,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
689,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
691,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
692,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
693,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
694,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
695,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
696,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
697,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
698,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
699,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
700,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
701,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
702,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
703,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
705,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
706,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
707,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
708,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
709,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
710,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
711,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
712,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
714,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
715,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
716,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
717,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
719,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
720,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
721,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
722,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
723,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
724,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
725,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
726,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
727,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
728,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
729,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
730,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
731,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
732,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
733,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
734,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
735,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
736,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
737,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
738,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
739,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
740,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
741,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very dissatisfied
743,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
744,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
745,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
746,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
747,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
749,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
750,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
751,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
752,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
753,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
754,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
755,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
756,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
757,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
758,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
759,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
760,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
761,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
762,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
763,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
764,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
765,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
766,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
767,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
768,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
769,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
770,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
771,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
772,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
773,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
775,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
776,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
777,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
778,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
780,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
781,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
782,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
783,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
784,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly dissatisfied
785,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
786,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
787,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
788,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
790,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
791,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
792,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
793,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
794,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
795,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
796,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
797,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
798,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
799,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
800,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
801,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
802,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
803,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
804,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
805,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
806,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
807,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
808,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
810,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
811,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
812,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
814,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
815,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
816,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
817,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
818,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
819,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
821,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
822,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very dissatisfied
823,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
824,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
825,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
827,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
829,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
830,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
831,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
832,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
833,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
834,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
835,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
836,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
837,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly dissatisfied
838,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
839,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
840,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
842,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
843,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
844,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
846,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
847,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
848,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
850,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
851,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
852,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
853,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
854,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
855,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
856,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
857,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
858,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
859,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
860,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
861,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
862,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
863,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
864,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly dissatisfied
865,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
866,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
867,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
868,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
869,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
870,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
871,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
872,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
873,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
874,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
875,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
876,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
877,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
878,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
879,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
880,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
881,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
882,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
883,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
884,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
885,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
886,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
887,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
891,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
892,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
893,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
894,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
895,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
896,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
897,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
899,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
900,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
901,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
902,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
903,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
